match_id,date,team1,team2,team1_sets,team2_sets,winner
2025-11-13_dhVmA0z9_QqMi2DVn,2025-11-13,sada-cruzeiro-dhVmA0z9,volei-renata-QqMi2DVn,2,3,volei-renata-QqMi2DVn
2025-11-13_hbFonVBi_bw6M1XcM,2025-11-13,kemerovo-hbFonVBi,gorky-n-novgorod-bw6M1XcM,1,3,gorky-n-novgorod-bw6M1XcM
2025-11-13_KEpRN78b_j7MxHCWI,2025-11-13,surgut-region-KEpRN78b,zenit-kazan-j7MxHCWI,0,3,zenit-kazan-j7MxHCWI
2025-11-12_x8EXtuzk_Qc6DYNgQ,2025-11-12,mladost-ribola-kastela-x8EXtuzk,crvena-zvezda-Qc6DYNgQ,2,3,crvena-zvezda-Qc6DYNgQ
2025-11-12_2qthufQB_dIKtyvtP,2025-11-12,manacor-2qthufQB,haok-mladost-dIKtyvtP,2,3,haok-mladost-dIKtyvtP
2025-11-12_Crdl5TM1_jajFI3Ws,2025-11-12,ceske-budejovice-Crdl5TM1,vc-strumica-jajFI3Ws,3,0,ceske-budejovice-Crdl5TM1
2025-11-12_h2H7m1CR_0QqJdHDe,2025-11-12,centrometal-h2H7m1CR,benfica-0QqJdHDe,0,3,benfica-0QqJdHDe
2025-11-13_dfQqb0kJ_dYSKZXu0,2025-11-13,podgorica-dfQqb0kJ,ok-maribor-dYSKZXu0,0,3,ok-maribor-dYSKZXu0
2025-11-14_WGABxZRf_hOxAoMjj,2025-11-14,tours-WGABxZRf,paris-hOxAoMjj,3,1,tours-WGABxZRf
2025-11-14_OWUbRW4I_vgw8MODe,2025-11-14,warnemunde-OWUbRW4I,herrsching-vgw8MODe,0,3,herrsching-vgw8MODe
2025-11-14_vsEJzDd7_OKMYx0en,2025-11-14,aons-milon-vsEJzDd7,panionios-OKMYx0en,3,1,aons-milon-vsEJzDd7
2025-11-14_IaHhI75c_jTKINSpR,2025-11-14,tokyo-great-bears-IaHhI75c,nagoya-jTKINSpR,0,3,nagoya-jTKINSpR
2025-11-15_p6Uf7OoP_lY4LB6zN,2025-11-15,jtekt-p6Uf7OoP,osaka-bluteon-lY4LB6zN,1,3,osaka-bluteon-lY4LB6zN
2025-11-15_QHGgYVPI_EP58zEQg,2025-11-15,ach-volley-ljubljana-QHGgYVPI,krka-EP58zEQg,3,0,ach-volley-ljubljana-QHGgYVPI
2025-11-15_WfHkZBAC_xhKcXkuP,2025-11-15,calcit-kamnik-WfHkZBAC,alpacem-kanal-xhKcXkuP,0,3,alpacem-kanal-xhKcXkuP
